%{dd-mm-yyyy HH:MM:SS} INFO  LoggerHelper : 21 -logger is configured
%{dd-MM-yyyy HH:MM:SS} INFO  LoggerHelper : 21 -logger is configured
%{dd-MM-yyyy HH:MM:SS} INFO  LoggerHelper :21 - logger is configured
27-03-2020 16:03:494 INFO  Base :121 - Initialise WebDriver 26970580
27-03-2020 16:03:515 INFO  WaitHelper :34 - Implicit Wait has been set to 120 SECONDS
27-03-2020 16:03:519 INFO  WaitHelper :124 - waiting for page to load for SECONDS
27-03-2020 16:03:519 INFO  WaitHelper :125 - page is loded
27-03-2020 16:03:140 INFO  Base :121 - Initialise WebDriver 26970580
27-03-2020 16:03:168 INFO  WaitHelper :34 - Implicit Wait has been set to 120 SECONDS
27-03-2020 16:03:183 INFO  WaitHelper :124 - waiting for page to load for SECONDS
27-03-2020 16:03:183 INFO  WaitHelper :125 - page is loded
27-03-2020 18:03:787 INFO  Retry :19 - Retry Test testoginB with status FAIL for the 2 times
27-03-2020 18:03:791 INFO  Retry :19 - Retry Test testoginB with status FAIL for the 3 times
27-03-2020 18:03:804 INFO  Retry :19 - Retry Test testoginC with status FAIL for the 2 times
27-03-2020 18:03:807 INFO  Retry :19 - Retry Test testoginC with status FAIL for the 3 times
27-03-2020 18:03:407 INFO  ExtentListner :54 - FirstTest class started..
27-03-2020 18:03:424 INFO  ExtentListner :24 - testLogin Test Started..
27-03-2020 18:03:430 INFO  ExtentListner :30 - testLogin Test Passed
27-03-2020 18:03:699 INFO  ExtentListner :60 - FirstTest Test Finished..
27-03-2020 18:03:701 INFO  ExtentListner :54 - SecondTest class started..
27-03-2020 18:03:703 INFO  ExtentListner :24 - testoginB Test Started..
27-03-2020 18:03:705 ERROR ExtentListner :36 - testoginB Test Failed.. junit.framework.AssertionFailedError
27-03-2020 18:03:736 INFO  ExtentListner :60 - SecondTest Test Finished..
27-03-2020 18:03:738 INFO  ExtentListner :54 - ThirdTest class started..
27-03-2020 18:03:740 INFO  ExtentListner :24 - testoginC Test Started..
27-03-2020 18:03:743 ERROR ExtentListner :36 - testoginC Test Failed.. junit.framework.AssertionFailedError
27-03-2020 18:03:762 INFO  ExtentListner :60 - ThirdTest Test Finished..
27-03-2020 20:03:533 INFO  Base :126 - Initialise WebDriver 1528834618
27-03-2020 20:03:545 INFO  WaitHelper :34 - Implicit Wait has been set to 120 SECONDS
27-03-2020 20:03:550 INFO  WaitHelper :124 - waiting for page to load for SECONDS
27-03-2020 20:03:551 INFO  WaitHelper :125 - page is loded
27-03-2020 21:03:651 INFO  Base :130 - Initialise WebDriver 1528834618
27-03-2020 21:03:682 INFO  WaitHelper :34 - Implicit Wait has been set to 120 SECONDS
27-03-2020 21:03:686 INFO  WaitHelper :124 - Waiting for Page Load Time200 for SECONDS
27-03-2020 21:03:686 INFO  WaitHelper :125 - Page is loded
27-03-2020 21:03:760 INFO  ExtentListner :26 - A class started..
27-03-2020 21:03:772 INFO  ExtentListner :32 - testLogin Test Started..
27-03-2020 21:03:775 INFO  ExtentListner :38 - testLogin Test Passed
27-03-2020 21:03:790 INFO  ExtentListner :64 - A Test Finished..
27-03-2020 21:03:791 INFO  ExtentListner :26 - B class started..
27-03-2020 21:03:792 INFO  ExtentListner :32 - testoginB Test Started..
27-03-2020 21:03:795 ERROR ExtentListner :44 - testoginB Test Failed.. junit.framework.AssertionFailedError
27-03-2020 21:03:803 INFO  ExtentListner :64 - B Test Finished..
27-03-2020 21:03:804 INFO  ExtentListner :26 - C class started..
27-03-2020 21:03:805 INFO  ExtentListner :32 - testoginC Test Started..
27-03-2020 21:03:808 ERROR ExtentListner :44 - testoginC Test Failed.. junit.framework.AssertionFailedError
27-03-2020 21:03:814 INFO  ExtentListner :64 - C Test Finished..
27-03-2020 21:03:820 INFO  ExtentListner :26 - TestScreenshot class started..
27-03-2020 21:03:684 INFO  Base :130 - Initialise WebDriver 1570358965
27-03-2020 21:03:726 INFO  WaitHelper :34 - Implicit Wait has been set to 120 SECONDS
27-03-2020 21:03:736 INFO  WaitHelper :124 - Waiting for Page Load Time200 for SECONDS
27-03-2020 21:03:738 INFO  WaitHelper :125 - Page is loded
27-03-2020 21:03:913 INFO  ExtentListner :32 - test Test Started..
27-03-2020 21:03:402 INFO  ExtentListner :38 - test Test Passed
27-03-2020 21:03:533 INFO  ExtentListner :64 - TestScreenshot Test Finished..
27-03-2020 21:03:558 INFO  ExtentListner :26 - A class started..
27-03-2020 21:03:569 INFO  ExtentListner :32 - testLogin Test Started..
27-03-2020 21:03:572 INFO  ExtentListner :38 - testLogin Test Passed
27-03-2020 21:03:588 INFO  ExtentListner :64 - A Test Finished..
27-03-2020 21:03:590 INFO  ExtentListner :26 - B class started..
27-03-2020 21:03:591 INFO  ExtentListner :32 - testoginB Test Started..
27-03-2020 21:03:594 ERROR ExtentListner :44 - testoginB Test Failed.. junit.framework.AssertionFailedError
27-03-2020 21:03:602 INFO  ExtentListner :64 - B Test Finished..
27-03-2020 21:03:602 INFO  ExtentListner :26 - C class started..
27-03-2020 21:03:604 INFO  ExtentListner :32 - testoginC Test Started..
27-03-2020 21:03:605 ERROR ExtentListner :44 - testoginC Test Failed.. junit.framework.AssertionFailedError
27-03-2020 21:03:612 INFO  ExtentListner :64 - C Test Finished..
27-03-2020 21:03:618 INFO  ExtentListner :26 - TestScreenshot class started..
27-03-2020 21:03:511 INFO  Base :130 - Initialise WebDriver 1570358965
